FullGeoName,key_plot_id,source,sewershed,location,sample_collect_date,first_sample_collect_date,submission_date,population_served,pos_samples,total_samples,percent_detections,pcr_target_detect_cat,latitude,longitude,pcr_target,counties,jurisdiction
,CDC_VERILY_ak_2633_Treatment plant_post grit removal,CDC_VERILY,ID:2633,Treatment plant,2024-07-22,2024-01-22,,23000,0,7,0.0,No detection,61.310011,-149.431158,nvo,Anchorage,Alaska
,CDC_VERILY_ca_2684_Treatment plant_post grit removal,CDC_VERILY,ID:2684,Treatment plant,2024-07-16,2024-03-10,2024-07-19T05:15:44.120Z,70000,0,12,0.0,No detection,37.049748,-122.108926,nvo,Santa Cruz,California
,WWS_ca_1669_Treatment plant_post grit removal,WWS,ID:1669,Treatment plant,2024-07-16,2022-08-22,2024-07-21T01:16:01.201Z,104250,0,6,0.0,No detection,37.968708,-122.51040599999999,hmpxv clade ii,Marin,California
,NWSS_tx_2810_Treatment plant_raw wastewater,NWSS,ID:2810,Treatment plant,2024-07-10,2024-06-04,2024-07-16T13:51:09.000Z,125000,0,2,0.0,No recent data,32.332577,-99.81353,hmpxv clade i,Taylor,Texas
,WWS_ca_1685_Treatment plant_primary sludge,WWS,ID:1685,Treatment plant,2024-06-27,2022-07-12,2024-06-30T01:20:03.399Z,740000,0,1,0.0,No recent data,37.810247,-122.29405999999999,hmpxv clade ii,Alameda,California
,WWS_ca_362_Treatment plant_primary sludge,WWS,ID:362,Treatment plant,2024-07-20,2023-02-20,2024-07-23T01:24:21.131Z,250000,0,23,0.0,No detection,37.734191,-122.493683,hmpxv clade ii,"San Francisco, San Mateo",California
,WWS_tx_865_Treatment plant_post grit removal,WWS,ID:865 -B,Treatment plant,2024-07-17,2022-12-12,2024-07-21T01:16:01.201Z,120000,0,9,0.0,No detection,27.398679,-99.468054,hmpxv clade ii,Webb,Texas
,WWS_ca_1371_Treatment plant_post grit removal,WWS,ID:1371,Treatment plant,2024-06-28,2022-12-02,2024-07-07T01:25:43.911Z,42000,0,2,0.0,No recent data,37.108168,-120.84435900000001,hmpxv clade ii,Merced,California
,NWSS_il_635_Before treatment plant_16_raw wastewater,NWSS,ID:635 -U3,Before treatment plant,2024-06-24,2023-02-27,2024-06-28T13:56:04.000Z,23475,0,4,0.0,No recent data,41.822328999999996,-87.6906,hmpxv clade ii,Cook,Illinois
,CDC_VERILY_ca_1173_Treatment plant_post grit removal,CDC_VERILY,ID:1173,Treatment plant,2024-07-18,2024-02-06,2024-07-20T20:49:02.968Z,495000,0,7,0.0,No detection,37.986301,-122.146176,nvo,Contra Costa,California
,CDC_VERILY_hi_1205_Treatment plant_post grit removal,CDC_VERILY,ID:1205,Treatment plant,2024-07-16,2022-11-29,2024-07-20T20:49:02.968Z,46800,0,6,0.0,No detection,20.728982,-156.48027499999998,nvo,Maui,Hawaii
,WWS_tx_1947_Treatment plant_post grit removal,WWS,ID:1947,Treatment plant,2024-07-17,2023-02-20,2024-07-21T01:16:01.201Z,65000,0,9,0.0,No detection,30.148191999999998,-95.48181600000001,hmpxv clade ii,Montgomery,Texas
,WWS_ca_1888_Treatment plant_post grit removal,WWS,ID:1888,Treatment plant,2024-07-17,2022-08-11,2024-07-21T01:16:01.201Z,230000,0,9,0.0,No detection,38.387713000000005,-122.734009,hmpxv clade ii,Sonoma,California
,WWS_in_1739_Treatment plant_post grit removal,WWS,ID:1739,Treatment plant,2024-07-17,2022-10-26,2024-07-21T01:16:01.201Z,25000,0,9,0.0,No detection,38.413189,-85.71938800000001,hmpxv clade ii,Clark,Indiana
,WWS_ca_1913_Treatment plant_post grit removal,WWS,ID:1913,Treatment plant,2024-07-17,2022-12-02,2024-07-21T01:16:01.201Z,59000,0,8,0.0,No detection,38.689295,-121.71727299999999,hmpxv clade ii,Yolo,California
,WWS_nj_2107_Treatment plant_post grit removal,WWS,ID:2107,Treatment plant,2024-07-17,2023-03-13,2024-07-21T01:16:01.201Z,50000,0,9,0.0,No detection,39.37452,-75.15146,hmpxv clade ii,Cumberland,New Jersey
,WWS_fl_2358_Treatment plant_post grit removal,WWS,ID:2358,Treatment plant,2024-07-17,2023-08-07,2024-07-21T01:16:01.201Z,89847,0,9,0.0,No detection,27.868761,-82.63606899999999,hmpxv clade ii,Pinellas,Florida
,WWS_ms_2479_Treatment plant_post grit removal,WWS,ID:2479,Treatment plant,2024-07-17,2023-11-13,2024-07-21T01:16:01.201Z,19008,0,9,0.0,No detection,30.426716000000003,-88.65478999999999,hmpxv clade ii,Jackson,Mississippi
,WWS_ga_1740_Treatment plant_post grit removal,WWS,ID:1740,Treatment plant,2024-07-14,2022-10-30,2024-07-19T01:21:14.107Z,294660,0,8,0.0,No detection,33.793685,-84.433858,hmpxv clade ii,Fulton,Georgia
,WWS_ga_1741_Treatment plant_post grit removal,WWS,ID:1741,Treatment plant,2024-07-14,2022-10-30,2024-07-19T01:21:14.107Z,105160,0,8,0.0,No detection,33.688137,-84.38240499999999,hmpxv clade ii,Fulton,Georgia
,NWSS_nj_2378_Treatment plant_raw wastewater,NWSS,ID:2378,Treatment plant,2024-07-11,2023-08-09,2024-07-23T16:03:29.000Z,7751,0,5,0.0,No detection,41.078041999999996,-74.797898,hmpxv,Sussex,New Jersey
,CDC_VERILY_va_2483_Treatment plant_post grit removal,CDC_VERILY,ID:2483,Treatment plant,2024-07-18,2023-11-15,2024-07-20T20:49:02.968Z,33458,0,5,0.0,No detection,37.208529999999996,-77.38189299999999,nvo,Petersburg City,Virginia
,NWSS_wa_2420_Treatment plant_post grit removal,NWSS,ID:2420,Treatment plant,2024-07-09,2023-09-19,2024-07-17T16:15:19.000Z,789000,0,4,0.0,No detection,47.783314999999995,-122.272256,hmpxv,"King, Snohomish",Washington
,CDC_VERILY_ca_2537_Treatment plant_post grit removal,CDC_VERILY,ID:2537,Treatment plant,2024-07-17,2023-12-18,2024-07-23T06:50:02.960Z,60000,0,6,0.0,No detection,36.98357,-121.75612,nvo,"Santa Cruz, Monterey",California
,CDC_VERILY_hi_2679_Treatment plant_post grit removal,CDC_VERILY,ID:2679,Treatment plant,2024-07-16,2024-02-27,2024-07-20T20:49:02.968Z,58900,0,6,0.0,No detection,20.871204,-156.257486,nvo,Maui,Hawaii
,WWS_ca_1946_Treatment plant_primary sludge,WWS,ID:1946,Treatment plant,2024-07-20,2023-02-20,2024-07-23T01:24:21.131Z,153000,2,24,8.333,Intermittent detection,37.180876000000005,-121.705207,hmpxv clade ii,Santa Clara,California
,WWS_nh_1706_Treatment plant_post grit removal,WWS,ID:1706,Treatment plant,2024-06-26,2022-10-12,2024-06-30T01:20:03.399Z,4000,0,11,0.0,No recent data,43.279734000000005,-71.669603,hmpxv clade ii,Merrimack,New Hampshire
,CDC_VERILY_me_2511_Treatment plant_post grit removal,CDC_VERILY,ID:2511,Treatment plant,2024-07-17,2023-12-04,2024-07-20T20:49:02.968Z,16000,0,4,0.0,No detection,43.544176,-70.644539,nvo,York,Maine
,CDC_VERILY_ma_2539_Treatment plant_raw wastewater,CDC_VERILY,ID:2539,Treatment plant,2024-07-18,2023-12-26,2024-07-20T21:49:17.392Z,228285,0,6,0.0,No detection,42.435756,-71.45816500000001,nvo,Middlesex,Massachusetts
,WWS_vt_2613_Treatment plant_primary sludge,WWS,ID:2613,Treatment plant,2024-07-18,2023-03-06,2024-07-21T01:16:01.201Z,10100,0,9,0.0,No detection,44.25689,-72.613619,hmpxv clade ii,Washington,Vermont
,CDC_VERILY_va_2695_Treatment plant_post grit removal,CDC_VERILY,ID:2695,Treatment plant,2024-07-18,2024-03-21,2024-07-20T21:49:17.392Z,15000,0,7,0.0,No detection,37.650895000000006,-79.875047,nvo,Alleghany,Virginia
,WWS_ks_1710_Treatment plant_primary sludge,WWS,ID:1710,Treatment plant,2024-07-17,2022-08-08,2024-07-21T01:16:01.201Z,47000,0,9,0.0,No detection,38.826553,-97.641273,hmpxv clade ii,Saline,Kansas
,CDC_VERILY_nm_2492_Treatment plant_post grit removal,CDC_VERILY,ID:2492,Treatment plant,2024-07-22,2023-11-27,2024-07-24T05:51:15.286Z,87000,0,3,0.0,No detection,35.697464000000004,-105.94802299999999,nvo,Santa Fe,New Mexico
,CDC_VERILY_fl_2749_Treatment plant_raw wastewater,CDC_VERILY,ID:2749,Treatment plant,2024-07-22,2024-04-29,2024-07-24T05:20:17.101Z,43023,0,8,0.0,No detection,25.952059000000002,-80.140627,nvo,Miami,Indiana
,CDC_VERILY_sc_2677_Treatment plant_post grit removal,CDC_VERILY,ID:2677,Treatment plant,2024-07-18,2024-01-09,2024-07-20T21:49:17.392Z,48000,0,6,0.0,No detection,34.107889,-82.13438099999999,nvo,Greenwood,South Carolina
,CDC_VERILY_fl_2752_Treatment plant_post grit removal,CDC_VERILY,ID:2752,Treatment plant,2024-07-21,2024-05-05,2024-07-24T05:51:15.286Z,750000,0,7,0.0,No detection,25.699858,-80.171055,nvo,Miami-Dade,Florida
,NWSS_wa_1399_Treatment plant_raw wastewater,NWSS,ID:1399,Treatment plant,2024-07-10,2022-10-24,2024-07-17T16:15:19.000Z,10000,0,4,0.0,No detection,48.017052,-122.842003,hmpxv,Jefferson,Washington
,CDC_VERILY_ca_2741_Treatment plant_post grit removal,CDC_VERILY,ID:2741,Treatment plant,2024-07-18,2024-04-23,2024-07-20T20:49:02.968Z,13754,0,7,0.0,No detection,39.118626,-121.122016,nvo,Nevada,California
,NWSS_wa_753_Treatment plant_raw wastewater,NWSS,ID:753,Treatment plant,2024-07-12,2022-10-24,2024-07-17T16:15:19.000Z,73000,0,5,0.0,No detection,46.42106,-118.89920699999999,hmpxv,Franklin,Washington
,CDC_VERILY_ca_1593_Treatment plant_raw wastewater,CDC_VERILY,ID:1593,Treatment plant,2024-07-18,2022-12-19,2024-07-20T21:49:17.392Z,6031,0,6,0.0,No detection,35.598667999999996,-120.949854,nvo,San Luis Obispo,California
,WWS_ia_1867_Treatment plant_post grit removal,WWS,ID:1867,Treatment plant,2024-07-17,2023-01-23,2024-07-21T01:16:01.201Z,23000,0,9,0.0,No detection,41.689742,-91.6246,hmpxv clade ii,Johnson,Iowa
,CDC_VERILY_tx_2682_Treatment plant_raw wastewater,CDC_VERILY,ID:2682,Treatment plant,2024-06-04,2024-03-05,2024-06-08T19:09:59.095Z,13487,0,2,0.0,No recent data,32.366696999999995,-102.527415,nvo,Andrews,Texas
,NWSS_nc_335_Treatment plant_raw wastewater,NWSS,ID:335,Treatment plant,2024-06-06,2023-12-21,2024-06-14T16:25:16.000Z,7776,0,2,0.0,No recent data,35.874739999999996,-78.361542,nvo,Wake,North Carolina
